id,created_at,deleted,updated_at,language_id,location_id,separator_text_id,surah_id,surah_name
67,2022-12-28 11:56:01.829000,false,2022-12-28 11:56:01.829000,2,4,2,69,Тағобун
68,2022-12-28 11:56:45.902000,false,2022-12-28 11:56:45.902000,2,4,2,70,Талоқ
69,2022-12-28 11:57:37.783000,false,2022-12-28 11:57:37.783000,2,4,2,71,Таҳрим
70,2022-12-28 11:58:39.518000,false,2022-12-28 11:58:39.518000,2,3,2,72,Мулк
71,2022-12-28 11:59:29.869000,false,2022-12-28 11:59:29.869000,2,3,2,73,Қалам
72,2022-12-28 12:00:18.746000,false,2022-12-28 12:00:18.746000,2,3,2,74,Ҳааққо
73,2022-12-28 12:01:06.510000,false,2022-12-28 12:01:06.510000,2,3,2,75,Маъориж
74,2022-12-28 13:39:51.146000,false,2022-12-28 13:39:51.146000,2,3,2,76,Нуҳ
75,2022-12-28 13:40:49.440000,false,2022-12-28 13:40:49.440000,2,3,2,77,Жин
76,2022-12-28 13:41:28.623000,false,2022-12-28 13:41:28.623000,2,3,2,78,Муззаммил
77,2022-12-28 13:44:24.955000,false,2022-12-28 13:44:24.955000,2,3,2,79,Муддассир
78,2022-12-28 13:45:33.117000,false,2022-12-28 13:45:33.117000,2,3,2,80,Қияама
79,2022-12-28 13:46:56.988000,false,2022-12-28 13:46:56.988000,2,4,2,81,Инсон
80,2022-12-28 13:48:05.177000,false,2022-12-28 13:48:05.177000,2,3,2,82,Мурсалаат
81,2022-12-28 13:48:59.861000,false,2022-12-28 13:48:59.861000,2,3,2,83,Набаъ
82,2022-12-28 13:49:39.955000,false,2022-12-28 13:49:39.955000,2,3,2,84,Назиъаат
83,2022-12-28 13:50:32.990000,false,2022-12-28 13:50:32.990000,2,3,2,85,Абаса
84,2022-12-28 13:59:50.035000,false,2022-12-28 13:59:50.035000,2,3,2,86,Таквир
85,2022-12-28 14:00:25.524000,false,2022-12-28 14:00:25.524000,2,3,2,87,Инфитор
86,2022-12-28 14:01:13.648000,false,2022-12-28 14:01:13.648000,2,3,2,88,Мутоффифун
87,2022-12-28 14:01:59.847000,false,2022-12-28 14:01:59.847000,2,3,2,89,Иншиқоқ
88,2022-12-28 14:02:47.660000,false,2022-12-28 14:02:47.660000,2,3,2,90,Буруж
89,2022-12-28 14:03:29.600000,false,2022-12-28 14:03:29.600000,2,3,2,91,Ториқ
90,2022-12-28 14:04:16.242000,false,2022-12-28 14:04:16.242000,2,3,2,92,Аълаа
91,2022-12-28 14:04:56.022000,false,2022-12-28 14:04:56.022000,2,3,2,93,Ғошия
92,2022-12-28 14:05:41.199000,false,2022-12-28 14:05:41.199000,2,3,2,94,Фажр
93,2022-12-28 14:06:32.254000,false,2022-12-28 14:06:32.254000,2,3,2,95,Балад
94,2022-12-28 14:09:33.634000,false,2022-12-28 14:09:33.634000,2,3,2,96,Шамс
95,2022-12-28 14:10:16.955000,false,2022-12-28 14:10:16.955000,2,3,2,97,Лайл
96,2022-12-28 14:11:10.415000,false,2022-12-28 14:11:10.415000,2,3,2,98,Зуҳо
97,2022-12-28 14:11:51.018000,false,2022-12-28 14:11:51.018000,2,3,2,99,Шарҳ
98,2022-12-28 14:12:42.771000,false,2022-12-28 14:12:42.771000,2,3,2,100,Тийн
99,2022-12-28 14:14:05.570000,false,2022-12-28 14:14:05.570000,2,3,2,101,Алақ
100,2022-12-28 14:15:13.766000,false,2022-12-28 14:15:13.766000,2,3,2,102,Қадр
101,2022-12-28 14:15:57.227000,false,2022-12-28 14:15:57.227000,2,3,2,103,Баййина
102,2022-12-28 14:16:59.889000,false,2022-12-28 14:16:59.889000,2,4,2,104,Залзала
103,2022-12-28 14:17:50.961000,false,2022-12-28 14:17:50.961000,2,3,2,105,Аъдият
104,2022-12-28 14:24:06.553000,false,2022-12-28 14:24:06.553000,2,3,2,106,Қориъа
105,2022-12-28 14:24:42.265000,false,2022-12-28 14:24:42.265000,2,3,2,107,Такаасур
106,2022-12-28 14:25:31.419000,false,2022-12-28 14:25:31.419000,2,3,2,108,Аср
107,2022-12-28 14:26:13.024000,false,2022-12-28 14:26:13.024000,2,3,2,109,Ҳумаза
108,2022-12-28 14:26:56.179000,false,2022-12-28 14:26:56.179000,2,3,2,110,Фийл
109,2022-12-28 14:27:45.357000,false,2022-12-28 14:27:45.357000,2,3,2,111,Қурайш
110,2022-12-28 14:28:54.274000,false,2022-12-28 14:28:54.274000,2,3,2,112,Мааъуун
111,2022-12-28 14:30:08.118000,false,2022-12-28 14:30:08.118000,2,3,2,113,Кавсар
112,2022-12-28 14:30:47.197000,false,2022-12-28 14:30:47.197000,2,3,2,114,Каафирун
113,2022-12-28 14:31:44.640000,false,2022-12-28 14:31:44.640000,2,4,2,115,Наср
114,2022-12-28 14:32:40.184000,false,2022-12-28 14:32:40.184000,2,3,2,116,Масад
115,2022-12-28 14:33:25.724000,false,2022-12-28 14:33:25.724000,2,3,2,117,Ихлос
116,2022-12-28 14:34:49.066000,false,2022-12-28 14:34:49.066000,2,3,2,118,Фалақ
117,2022-12-28 14:35:50.904000,false,2022-12-28 14:35:50.904000,2,3,2,119,Наас
