id,created_at,deleted,updated_at,juz_number,surah_order_number,verses_count,verses_order_number
69,2023-01-05 16:43:15.154000,false,2023-01-05 16:43:15.154000,26,49,18,1-18
70,2023-01-05 16:43:48.332000,false,2023-01-05 16:43:48.332000,26,50,45,1-45
71,2023-01-05 16:44:38.472000,false,2023-01-05 16:44:38.472000,26,51,30,1-30
72,2023-01-06 09:01:17.352000,false,2023-01-06 09:01:17.352000,27,51,30,31-60
73,2023-01-06 09:02:01.406000,false,2023-01-06 09:02:01.406000,27,52,49,1-49
74,2023-01-06 09:03:58.193000,false,2023-01-06 09:03:58.193000,27,53,62,1-62
75,2023-01-06 09:04:35.869000,false,2023-01-06 09:04:35.869000,27,54,55,1-55
76,2023-01-06 09:05:01.814000,false,2023-01-06 09:05:01.814000,27,55,78,1-78
77,2023-01-06 09:05:33.057000,false,2023-01-06 09:05:33.057000,27,56,96,1-96
78,2023-01-06 09:06:00.235000,false,2023-01-06 09:06:00.235000,27,57,29,1-29
79,2023-01-06 09:07:03.350000,false,2023-01-06 09:07:03.350000,28,58,22,1-22
80,2023-01-06 09:07:27.114000,false,2023-01-06 09:07:27.114000,28,59,24,1-24
81,2023-01-06 09:07:54.508000,false,2023-01-06 09:07:54.508000,28,60,13,1-13
82,2023-01-06 09:08:45.153000,false,2023-01-06 09:08:45.153000,28,61,14,1-14
83,2023-01-06 09:09:16.828000,false,2023-01-06 09:09:16.828000,28,62,11,1-11
84,2023-01-06 09:09:42.659000,false,2023-01-06 09:09:42.659000,28,63,11,1-11
85,2023-01-06 09:10:07.538000,false,2023-01-06 09:10:07.538000,28,64,18,1-18
86,2023-01-06 09:10:35.319000,false,2023-01-06 09:10:35.319000,28,65,12,1-12
87,2023-01-06 09:10:58.599000,false,2023-01-06 09:10:58.599000,28,66,12,1-12
88,2023-01-06 09:13:14.444000,false,2023-01-06 09:13:14.444000,29,67,30,1-30
89,2023-01-06 09:13:55.263000,false,2023-01-06 09:13:55.263000,29,68,52,1-52
90,2023-01-06 09:14:26.382000,false,2023-01-06 09:14:26.382000,29,69,52,1-52
91,2023-01-06 09:14:54.465000,false,2023-01-06 09:14:54.465000,29,70,44,1-44
92,2023-01-06 09:15:39.198000,false,2023-01-06 09:15:39.198000,29,71,28,1-28
93,2023-01-06 09:15:52.102000,false,2023-01-06 09:15:52.102000,29,72,28,1-28
94,2023-01-06 09:16:36.775000,false,2023-01-06 09:16:36.775000,29,73,20,1-20
95,2023-01-06 09:17:04.522000,false,2023-01-06 09:17:04.522000,29,74,56,1-56
96,2023-01-06 09:17:32.364000,false,2023-01-06 09:17:32.364000,29,75,40,1-40
97,2023-01-06 09:18:04.137000,false,2023-01-06 09:18:04.137000,29,76,31,1-31
98,2023-01-06 09:18:59.234000,false,2023-01-06 09:18:59.234000,29,77,50,1-50
99,2023-01-06 09:24:30.386000,false,2023-01-06 09:24:30.386000,30,78,40,1-40
100,2023-01-06 09:26:26.991000,false,2023-01-06 09:26:26.991000,30,79,46,1-46
101,2023-01-06 09:26:49.237000,false,2023-01-06 09:26:49.237000,30,80,42,1-42
102,2023-01-06 09:27:14.000000,false,2023-01-06 09:27:14.000000,30,81,29,1-29
103,2023-01-06 09:27:45.712000,false,2023-01-06 09:27:45.712000,30,82,19,1-19
104,2023-01-06 09:28:21.857000,false,2023-01-06 09:28:21.857000,30,83,36,1-36
105,2023-01-06 09:29:00.539000,false,2023-01-06 09:29:00.539000,30,84,25,1-25
106,2023-01-06 09:29:30.651000,false,2023-01-06 09:29:30.651000,30,85,22,1-22
107,2023-01-06 09:30:01.917000,false,2023-01-06 09:30:01.917000,30,86,17,1-17
108,2023-01-06 09:30:33.149000,false,2023-01-06 09:30:33.149000,30,87,19,1-19
109,2023-01-06 09:31:11.179000,false,2023-01-06 09:31:11.179000,30,88,26,1-26
110,2023-01-06 09:31:38.361000,false,2023-01-06 09:31:38.361000,30,89,30,1-30
111,2023-01-06 09:32:22.656000,false,2023-01-06 09:32:22.657000,30,90,20,1-20
